Date,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Cryptoname,FAGI,RSI
2021-07-03,2152.64,2239.00,2112.03,2226.63,2965805.065,2021-07-04,6500249029.39124,2845458,1506100.715,3301844849.23065,ETHUSDT,24,49.58867053536087
2021-07-04,2226.71,2390.00,2188.00,2321.95,3200803.958,2021-07-05,7390321295.61830,2845169,1596772.157,3686896476.07513,ETHUSDT,27,52.720967727910924
2021-07-05,2322.13,2324.22,2155.04,2195.38,4496599.633,2021-07-06,10086981165.22405,3640844,2192208.244,4918710176.05638,ETHUSDT,29,48.418864377786484
2021-07-06,2195.38,2349.92,2191.24,2322.04,4197100.450,2021-07-07,9626162967.33224,3956516,2102159.476,4821325277.74283,ETHUSDT,20,52.58829212879112
2021-07-07,2321.82,2410.00,2292.94,2314.65,3113882.674,2021-07-08,7340606730.55211,3187956,1536374.681,3622913079.14039,ETHUSDT,28,52.32254775760514
2021-07-08,2314.64,2326.58,2082.07,2114.88,4154305.408,2021-07-09,9080261738.94438,3793080,2034143.801,4446825205.31947,ETHUSDT,20,45.612448987887376
2021-07-09,2114.81,2189.27,2045.00,2147.53,4166847.297,2021-07-10,8846405222.35686,3773678,2102694.971,4464660906.08217,ETHUSDT,20,46.813006773727324
2021-07-10,2147.40,2195.00,2073.00,2111.14,2803372.980,2021-07-11,5940286610.76850,2901834,1384441.407,2934109601.17613,ETHUSDT,20,45.60470132454858
2021-07-11,2111.14,2175.00,2080.00,2140.27,2154716.197,2021-07-12,4578291195.14697,2335825,1090675.761,2317893367.71135,ETHUSDT,20,46.788715902051344
2021-07-12,2140.26,2167.95,2003.40,2030.85,2941659.373,2021-07-13,6135599771.18761,2856470,1415609.115,2952212476.02178,ETHUSDT,25,43.002300303397
2021-07-13,2030.78,2048.97,1916.00,1940.32,3641617.739,2021-07-14,7240764577.16506,3304763,1798509.909,3577320950.94722,ETHUSDT,20,40.110143325962795
2021-07-14,1940.31,2018.55,1862.32,1993.82,4274762.909,2021-07-15,8306491741.37898,3557825,2148944.526,4176270499.01802,ETHUSDT,21,42.5683989543982
2021-07-15,1993.82,2042.10,1880.29,1919.35,3891662.256,2021-07-16,7547129300.45538,3397840,1943391.415,3769721189.94237,ETHUSDT,20,40.10099009833007
2021-07-16,1919.36,1965.85,1846.00,1876.1,3797831.436,2021-07-17,7227056616.37395,3347908,1891555.804,3600903079.48532,ETHUSDT,22,38.69807120579843
2021-07-17,1876.09,1919.00,1841.00,1898.55,3169044.845,2021-07-18,5965787509.46470,2894663,1601202.531,3015181022.17974,ETHUSDT,15,39.8739300840332
2021-07-18,1898.55,1994.26,1875.00,1890.66,3350134.623,2021-07-19,6490340037.90537,3000049,1671293.528,3238462540.45405,ETHUSDT,19,39.58653857452614
2021-07-19,1890.80,1917.82,1801.00,1818.4,3317206.573,2021-07-20,6135968039.40363,2995048,1608819.149,2977139424.48436,ETHUSDT,24,36.95921667430481
2021-07-20,1818.40,1841.34,1715.00,1785.04,4510417.880,2021-07-21,7956472622.46679,3712603,2253173.192,3974991938.39241,ETHUSDT,19,35.77861853896877
2021-07-21,1785.20,2038.00,1752.35,1995.49,5466949.512,2021-07-22,10439929115.58029,4331017,2810927.666,5367608197.59049,ETHUSDT,10,47.23034923384267
2021-07-22,1995.50,2046.00,1945.00,2023.55,3739570.520,2021-07-23,7466590230.05726,3437084,1876710.365,3747955804.83997,ETHUSDT,21,48.54775402961822
2021-07-23,2024.00,2131.96,1995.02,2124.33,3237000.868,2021-07-24,6648633427.28004,3062474,1644610.167,3379289078.81768,ETHUSDT,23,53.078581488458056
2021-07-24,2124.34,2198.00,2105.40,2183.53,2900599.605,2021-07-25,6230603831.28980,2827931,1448763.222,3112768201.19873,ETHUSDT,22,55.55448202908907
2021-07-25,2183.54,2197.00,2106.12,2188.11,2654022.719,2021-07-26,5715783682.52749,2588512,1326925.457,2858328683.89461,ETHUSDT,27,55.74902402620876
2021-07-26,2188.15,2433.53,2170.03,2227.41,5648553.005,2021-07-27,13069147530.17464,5017882,2788808.874,6452664899.16412,ETHUSDT,26,57.469305941677945
2021-07-27,2227.44,2319.00,2150.00,2298.04,4077823.745,2021-07-28,9128465396.90154,4058565,2024975.777,4534157411.61879,ETHUSDT,32,60.44545387689937
2021-07-28,2298.05,2345.54,2242.20,2300.08,3309639.002,2021-07-29,7597061765.53673,3719892,1625791.148,3733210001.70135,ETHUSDT,50,60.53136113122064
2021-07-29,2300.12,2406.44,2263.33,2382.45,2369811.378,2021-07-30,5488185704.97631,2620977,1204318.664,2790126082.73508,ETHUSDT,50,63.937145263492454
2021-07-30,2382.45,2473.99,2316.03,2461.72,3555703.039,2021-07-31,8490960948.10425,3527851,1774308.255,4238455459.01198,ETHUSDT,53,66.89754056314256
2021-07-31,2461.52,2553.80,2421.76,2530.49,2363945.704,2021-08-01,5836744313.47873,2690844,1179653.841,2913175028.51795,ETHUSDT,60,69.25547759894876
2021-08-01,2530.37,2699.00,2511.88,2554.71,4203633.648,2021-08-02,10920759980.85322,4097967,2087175.773,5422908342.72187,ETHUSDT,60,70.06424194947452
2021-08-02,2554.72,2666.91,2506.11,2607.09,3757454.702,2021-08-03,9757084146.95917,3852144,1856094.989,4820788686.00819,ETHUSDT,48,71.79244861361789
2021-08-03,2607.09,2633.27,2441.00,2506.87,4035094.388,2021-08-04,10108119599.97699,4142949,1971051.111,4937371207.75629,ETHUSDT,48,64.16032244830872
2021-08-04,2506.50,2775.06,2456.83,2725.0,4639321.233,2021-08-05,12137903905.43098,4651056,2333344.867,6105496276.47493,ETHUSDT,42,71.30942743275834
2021-08-05,2725.00,2845.90,2527.00,2826.8,6430648.209,2021-08-06,17419363268.20104,6217881,3176491.447,8608308778.24955,ETHUSDT,50,73.92369861143177
2021-08-06,2826.81,2948.36,2720.31,2892.3,3957430.190,2021-08-07,11184522371.32228,4431054,1962396.456,5547427656.24925,ETHUSDT,52,75.47232282861987
2021-08-07,2892.29,3176.00,2865.45,3163.26,5211893.648,2021-08-08,15898690989.95260,5830907,2597842.151,7924675778.18144,ETHUSDT,69,80.60401372998103
2021-08-08,3163.26,3195.67,2950.45,3014.06,4207474.000,2021-08-09,12960508391.08436,4951334,2051638.379,6320404918.96085,ETHUSDT,74,71.70755249992774
